trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,stage,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_light_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair
167,R610,2023-05-16,915119,3,,1,,0.57,0.43,0.61,0.0,0.0,1.0,1.0,18.695200000000114,False,r,,0.7752000000000407,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.8299928410536175,0.001,0.0,0.8339928410536175,0.8339928410536175,6.577739045260777,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.30873163998442577,0.6912683600155742,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
168,R610,2023-05-16,915119,2,0,0,0,0.57,0.43,0.61,0.0,0.0,2.0,2.0,11.41210000000001,False,r,,0.9266999999999825,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.8855427461244718,0.001,0.0,0.8895427461244718,0.8895427461244718,6.7214007190073595,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.30873163998442577,0.6912683600155742,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
169,R610,2023-05-16,915119,3,,1,,0.56,0.44,0.61,0.0,0.0,1.0,6.0,8.455899999999929,False,r,,0.37469999999984793,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6653744282941396,0.001,0.0,0.6693744282941396,0.6693744282941396,3.09645423167529,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3610849163786607,0.6389150836213393,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
170,R610,2023-05-16,915119,2,0,0,0,0.56,0.44,0.61,0.0,1.0,2.0,0.0,14.643000000000029,False,l,0.7011999999999716,,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.681049486782909,0.001,0.0,0.685049486782909,0.685049486782909,7.051076753314854,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.3610849163786607,0.6389150836213393,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
171,R610,2023-05-16,915119,3,,1,,0.55,0.45,0.61,0.0,0.0,1.0,1.0,9.365899999999783,False,r,,0.6793999999999869,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.8717263387915075,0.001,0.0,0.8757263387915075,0.8757263387915075,6.243966443778068,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3327438695092044,0.6672561304907955,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
172,R610,2023-05-16,915119,3,,1,,0.55,0.45,0.61,0.0,0.0,1.0,1.0,16.935599999999795,False,r,,0.3961999999996806,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.46291122266432483,0.001,0.0,0.46691122266432483,0.46691122266432483,5.504340148228994,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3327438695092044,0.6672561304907955,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
173,R610,2023-05-16,915119,2,0,0,0,0.55,0.45,0.61,0.0,0.0,1.0,1.0,29.393999999999778,False,r,,0.5830999999998312,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.42090584137301834,0.001,0.0,0.42490584137301834,0.42490584137301834,5.926628271801217,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.3327438695092044,0.6672561304907955,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
174,R610,2023-05-16,915119,1,1,0,0,0.54,0.46,0.61,0.0,0.0,2.0,5.0,18.935299999999643,False,r,,0.8150999999998021,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6618544609012127,0.001,0.0,0.6658544609012127,0.6658544609012127,4.631812780937049,none,0.2,light,light,1.0,0.001,0.0,False,True,,6.0,True,False,6.0,6.0,0.38117659283433647,0.6188234071656634,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
175,R610,2023-05-16,915119,3,,1,,0.55,0.45,0.6,0.0,0.0,1.0,1.0,7.918599999999969,False,r,,0.5180000000000291,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6687035955424667,0.001,0.0,0.6727035955424667,0.6727035955424667,5.593366824901692,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.41376437530866744,0.5862356246913326,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
176,R610,2023-05-16,915119,3,,1,,0.55,0.45,0.61,0.0,0.0,1.0,2.0,6.883700000000317,False,r,,0.41679999999996653,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.7451568681296794,0.001,0.0,0.7491568681296794,0.7491568681296794,5.677751997492576,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.41376437530866744,0.5862356246913326,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
