,trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,trial_start,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,n_settling_ins,avg_settling_in,cpoke_dur,stage,curriculum,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_xtra_light_delay_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,was_block_swtich,volume_multiplier,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair,min_time_to_spoke
30,31,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.53,0.0,0.0,2.0,0.0,3.109899999999925,1725.401904,False,n,,,1.0,,0.4360999999998967,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.1264611277159946,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
31,32,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.55,0.0,0.0,2.0,1.0,3.8592000000001008,1744.470404,False,n,,,1.0,,0.5751000000000204,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.0318468056857695,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
32,33,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.56,0.0,0.0,2.0,0.0,6.563900000000103,1759.074804,False,n,,,1.0,,0.5932000000000244,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.047677350524138,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
33,34,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.58,0.0,24.0,1.0,0.0,7.975799999999936,1774.530104,False,l,3.3521999999998116,,1.0,,2.542199999999866,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.188247332410171,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",3.3521999999998116
34,35,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.56,0.0,0.0,1.0,30.0,9.385999999999967,1792.614504,False,r,,3.151299999999992,1.0,,2.5084999999999127,9.0,JB_r_classic,r,cpoke,False,3.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.1250390458649386,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 12.0",3.151299999999992
35,36,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.54,0.0,0.0,2.0,0.0,2.482099999999946,1811.820104,False,n,,,1.0,,0.6920000000000073,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.6390171022299813,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
36,37,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.56,0.0,0.0,3.0,24.0,7.470900000000029,1832.802304,False,r,,3.130300000000034,1.0,,2.496699999999919,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.0,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",3.130300000000034
37,38,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.54,0.0,16.0,2.0,0.0,7.504699999999957,1849.976904,False,l,3.197400000000016,,2.0,0.17360000000007858,2.5022999999998774,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.7396090051199002,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",3.197400000000016
38,39,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.53,0.0,0.0,3.0,0.0,3.8911000000000513,1873.686904,False,n,,,1.0,,0.4795999999998912,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.9177076976456706,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
39,40,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.54,0.0,22.0,1.0,0.0,7.541300000000092,1896.948104,False,l,3.2911000000001422,,1.0,,2.490600000000086,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.903897916581705,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",3.2911000000001422
