animal_id,fix_experiment,stage,date,hits
R050,V1,7.0,2024-08-25,0.9883040935672515
R050,V1,7.0,2024-08-26,0.9846743295019157
R050,V1,7.0,2024-08-27,0.9752650176678446
R051,V2,5.0,2024-08-02,0.955503512880562
R051,V2,6.0,2024-08-03,0.9613636363636363
R051,V2,7.0,2024-08-04,0.9615384615384616
R051,V2,7.0,2024-08-05,0.9504950495049505
R051,V2,7.0,2024-08-06,0.9809523809523809
R051,V2,7.0,2024-08-07,0.9688385269121813
R051,V2,7.0,2024-08-08,0.9545454545454546
R051,V2,7.0,2024-08-09,0.9596273291925466
R051,V2,8.0,2024-08-10,0.9579207920792079
R052,V1,5.0,2024-08-01,0.966804979253112
R052,V1,6.0,2024-08-02,0.981549815498155
R052,V1,7.0,2024-08-03,0.9865771812080537
R052,V1,7.0,2024-08-04,0.9857142857142858
R052,V1,7.0,2024-08-05,0.9895833333333334
R052,V1,7.0,2024-08-06,1.0
R052,V1,7.0,2024-08-07,0.9961832061068703
R052,V1,7.0,2024-08-08,0.9970414201183432
R052,V1,7.0,2024-08-09,1.0
R052,V1,7.0,2024-08-10,0.9965397923875432
R052,V1,7.0,2024-08-11,0.9894736842105263
R052,V1,7.0,2024-08-12,0.9919137466307277
R052,V1,7.0,2024-08-13,0.9915254237288136
R052,V1,7.0,2024-08-15,0.9881889763779528
R052,V1,7.0,2024-08-16,0.9903536977491961
R052,V1,7.0,2024-08-17,0.995850622406639
R052,V1,7.0,2024-08-18,0.9963636363636363
R052,V1,7.0,2024-08-19,0.9952830188679245
R052,V1,7.0,2024-08-20,0.9971751412429378
R052,V1,7.0,2024-08-21,1.0
R052,V1,7.0,2024-08-22,1.0
R052,V1,7.0,2024-08-23,0.9957081545064378
R052,V1,7.0,2024-08-24,0.989010989010989
R052,V1,7.0,2024-08-25,1.0
R052,V1,7.0,2024-08-26,0.995850622406639
R052,V1,7.0,2024-08-27,1.0
R052,V1,7.0,2024-08-28,1.0
R052,V1,7.0,2024-08-29,1.0
R052,V1,7.0,2024-08-30,0.9914529914529915
R052,V1,7.0,2024-09-04,1.0
R052,V1,7.0,2024-09-05,0.9851632047477745
R052,V1,7.0,2024-09-06,1.0
R052,V1,7.0,2024-09-07,1.0
R052,V1,7.0,2024-09-08,1.0
R052,V1,7.0,2024-09-11,0.9935897435897436
R052,V1,7.0,2024-09-12,0.994535519125683
R052,V1,7.0,2024-09-13,0.9942196531791907
R052,V1,7.0,2024-09-14,0.993103448275862
R052,V1,7.0,2024-09-15,0.99
R052,V1,7.0,2024-09-16,0.9884169884169884
R052,V1,7.0,2024-09-17,1.0
R052,V1,7.0,2024-09-18,0.9893617021276596
