animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R020,2024-01-24,Rig08,47.0,1,04:56:35,1.72,27.33,0.63,0.26,0.29,446.7,JM,0.0,0.0,0.88,13.4,-12.52
R021,2024-01-24,Rig09,24.0,1,05:00:54,1.6,15.0,0.65,0.29,0.44,383.9,JM,0.0,0.0,0.33,11.52,-11.19
R022,2024-01-24,Rig16,118.0,1,04:57:56,1.73,68.21,0.51,0.09,0.36,445.8,JM,0.0,0.0,1.925,13.37,-11.445
R023,2024-01-24,Rig18,114.0,1,04:55:59,1.76,64.77,0.79,0.09,0.02,368.7,JM,0.0,0.0,3.034,11.06,-8.026
R024,2024-01-24,Rig19,110.0,1,06:55:42,4.26,25.82,0.7599999999999999,0.04,-0.13,418.6,JM,0.0,0.0,3.645,12.56,-8.915000000000001
R025,2024-01-24,Rig12,130.0,1,06:55:39,4.24,30.66,0.87,0.31,-0.01,319.2,JM,0.0,0.0,2.34,9.58,-7.24
R026,2024-01-24,Rig22,98.0,1,06:55:48,4.27,22.95,0.76,0.13,0.03,388.7,JM,0.0,0.0,2.296,11.66,-9.364
R027,2024-01-24,Rig24,65.0,1,06:55:46,4.27,15.22,0.89,0.29,-0.06,403.7,JM,0.0,0.0,1.435,12.11,-10.675
R028,2024-01-24,Rig06,163.0,1,06:55:27,4.23,38.53,0.75,0.18,0.06,429.1,JM,0.0,0.0,4.0,12.87,-8.87
R029,2024-01-24,Rig09,109.0,1,06:55:35,4.22,25.83,0.67,0.13,0.0799999999999999,412.8,JM,0.0,0.0,2.88,12.38,-9.5
R020,2024-01-25,Rig08,75.0,1,05:29:09,1.86,40.32,0.84,0.08,0.0699999999999999,440.3,AB,0.0,0.0,2.1455,13.21,-11.0645
R021,2024-01-25,Rig09,51.0,1,05:29:30,1.86,27.42,0.91,0.08,0.17,380.6,AB,0.0,0.0,1.72,11.42,-9.7
R022,2024-01-25,Rig16,180.0,1,05:31:10,1.84,97.83,0.8,0.05,0.2299999999999999,443.0,AB,0.0,0.0,4.795,13.29,-8.495
R023,2024-01-25,Rig18,118.0,1,05:31:14,1.84,64.13,0.77,0.03,0.08,364.8,AB,0.0,0.0,3.256,10.94,-7.683999999999999
R024,2024-01-25,Rig19,207.0,1,07:29:32,4.32,47.92,0.83,0.0399999999999999,-0.1099999999999999,410.8,AB,0.0,0.0,7.47,12.32,-4.8500000000000005
R025,2024-01-25,Rig12,131.0,1,07:29:23,4.33,30.25,0.87,0.27,-0.02,312.9,AB,0.0,0.0,2.49,9.39,-6.9
R026,2024-01-25,Rig22,72.0,1,07:30:44,4.31,16.71,0.75,0.12,-0.1,384.8,AB,0.0,0.0,1.645,11.54,-9.895
R027,2024-01-25,Rig24,64.0,1,07:30:45,4.31,14.85,0.96,0.58,-0.0599999999999999,399.6,AB,0.0,0.0,0.91,11.99,-11.08
R028,2024-01-25,Rig06,195.0,1,07:31:34,4.23,46.1,0.7599999999999999,0.26,-0.09,423.7,AB,0.0,0.0,4.36,12.71,-8.350000000000001
R029,2024-01-25,Rig09,120.0,1,07:34:31,4.18,28.71,0.78,0.04,0.03,407.8,AB,0.0,0.0,4.05,12.23,-8.18
R020,2024-01-26,Rig08,68.0,1,05:24:22,1.92,35.42,0.87,0.1,0.13,443.0,AB,0.0,0.0,1.9075,13.29,-11.3825
R021,2024-01-26,Rig09,69.0,1,05:24:27,1.92,35.94,0.7,0.12,0.4399999999999999,382.5,AB,0.0,0.0,1.72,11.48,-9.76
R022,2024-01-26,Rig16,186.0,1,05:32:29,1.81,102.76,0.94,0.04,0.0799999999999999,440.6,AB,0.0,0.0,5.88,13.22,-7.340000000000001
R023,2024-01-26,Rig18,136.0,1,05:26:07,1.91,71.2,0.57,0.06,0.1099999999999999,368.0,AB,0.0,0.0,2.701,11.04,-8.338999999999999
R024,2024-01-26,Rig19,197.0,1,07:29:51,3.67,53.68,0.85,0.06,-0.14,410.6,AB,0.0,0.0,7.065,12.32,-5.255
R025,2024-01-26,Rig12,84.0,1,07:29:36,3.68,22.83,0.82,0.23,-0.26,318.6,AB,0.0,0.0,1.59,9.56,-7.970000000000001
R026,2024-01-26,Rig22,64.0,1,07:30:45,3.64,17.58,0.76,0.14,0.12,384.6,AB,0.0,0.0,1.47,11.54,-10.07
R027,2024-01-26,Rig24,61.0,1,07:30:44,3.64,16.76,0.92,0.38,0.1099999999999999,404.3,AB,0.0,0.0,1.225,12.13,-10.905
R028,2024-01-26,Rig06,171.0,1,07:31:33,3.59,47.63,0.74,0.19,-0.05,424.8,AB,0.0,0.0,4.08,12.74,-8.66
R029,2024-01-26,Rig09,88.0,1,07:32:11,3.58,24.58,0.84,0.15,0.05,409.9,AB,0.0,0.0,2.835,12.3,-9.465
R020,2024-01-27,Rig08,52.0,1,06:07:05,1.53,33.99,0.72,0.12,-0.3,447.4,JM,0.0,0.0,1.176,13.42,-12.244
R021,2024-01-27,Rig09,78.0,1,06:08:16,1.51,51.66,0.79,0.27,0.25,383.7,JM,0.0,0.0,1.8,11.51,-9.71
R022,2024-01-27,Rig16,122.0,1,06:08:01,1.5,81.33,0.91,0.03,0.13,445.8,JM,0.0,0.0,3.745,13.37,-9.625
