mass,weighing,date,ratname,tech,timeval
26.74,1103494,2022-11-29,Y502,JL,0 days 11:00:32
24.40,1103625,2022-11-30,R501,JL,0 days 08:31:40
26.26,1103646,2022-11-30,Y502,JL,0 days 10:54:09
22.99,1103648,2022-11-30,Y501,JL,0 days 10:54:54
23.99,1103777,2022-12-01,R501,JL,0 days 08:12:03
26.00,1103783,2022-12-01,Y502,JL,0 days 08:16:29
22.40,1103786,2022-12-01,Y501,JL,0 days 08:17:31
23.87,1103923,2022-12-02,R501,JL,0 days 08:42:11
25.50,1103930,2022-12-02,Y502,JL,0 days 08:45:43
22.30,1103931,2022-12-02,Y501,JL,0 days 08:46:05
23.57,1104063,2022-12-03,R501,ER,0 days 06:52:57
25.46,1104079,2022-12-03,Y502,ER,0 days 09:15:16
22.69,1104082,2022-12-03,Y501,ER,0 days 09:16:02
23.39,1104204,2022-12-04,R501,ER,0 days 07:04:17
25.64,1104221,2022-12-04,Y502,ER,0 days 09:23:31
22.53,1104223,2022-12-04,Y501,ER,0 days 09:25:11
23.12,1104355,2022-12-05,R501,JY,0 days 10:33:01
22.35,1104361,2022-12-05,Y501,JY,0 days 10:41:10
25.46,1104363,2022-12-05,Y502,JY,0 days 10:42:41
23.29,1104492,2022-12-06,R501,JL,0 days 08:32:22
22.89,1104500,2022-12-06,Y501,JL,0 days 08:37:34
26.28,1104502,2022-12-06,Y502,JL,0 days 08:38:04
22.87,1104627,2022-12-07,R501,JL,0 days 08:17:11
26.40,1104632,2022-12-07,Y502,JL,0 days 08:20:25
23.09,1104635,2022-12-07,Y501,JL,0 days 08:21:25
22.60,1104757,2022-12-08,R501,JL,0 days 08:20:16
